iter	Passed	Remaining
407	4978	1122
408	4987	1109
409	4996	1096
410	5006	1084
411	5015	1071
412	5025	1058
413	5035	1046
414	5045	1033
415	5056	1020
416	5068	1008
417	5079	996
418	5091	984
419	5102	971
420	5114	959
421	5150	952
422	5204	947
423	5216	934
424	5227	922
425	5244	911
426	5271	901
427	5285	889
428	5301	877
429	5313	865
430	5324	852
431	5333	839
432	5342	826
433	5351	813
434	5361	801
435	5370	788
436	5379	775
437	5389	762
438	5397	750
439	5407	737
440	5415	724
441	5425	711
442	5434	699
443	5443	686
444	5452	673
445	5461	661
446	5471	648
447	5480	636
448	5489	623
449	5498	610
450	5507	598
451	5516	585
452	5525	573
453	5534	560
454	5543	548
455	5552	535
456	5561	523
457	5571	510
458	5580	498
459	5590	486
460	5599	473
461	5609	461
462	5619	449
463	5628	436
464	5638	424
465	5648	412
466	5657	399
467	5666	387
468	5675	375
469	5685	362
470	5695	350
471	5704	338
472	5713	326
473	5723	313
474	5732	301
475	5742	289
476	5751	277
477	5761	265
478	5771	253
479	5780	240
480	5790	228
481	5800	216
482	5809	204
483	5819	192
484	5828	180
485	5838	168
486	5847	156
487	5857	144
488	5866	131
489	5875	119
490	5884	107
491	5892	95
492	5902	83
493	5910	71
494	5919	59
495	5928	47
496	5937	35
497	5947	23
498	5956	11
499	5965	0
