iter	Logloss
0	0.6855444472
1	0.6773225681
2	0.6699785325
3	0.6623082315
4	0.6543052716
5	0.647501034
6	0.6408283331
7	0.6346543607
8	0.6285415637
9	0.6224229009
10	0.6161070043
11	0.6096529348
12	0.6042638605
13	0.5993754043
14	0.5939591376
15	0.5896824027
16	0.5848366795
17	0.5809462829
18	0.5765359417
19	0.5723583606
20	0.5684218185
21	0.5644697705
22	0.5610391933
23	0.5576861459
24	0.5537632936
25	0.5507584491
26	0.5478135611
27	0.5446808273
28	0.5413137568
29	0.5380144917
30	0.5357725721
31	0.5327093988
32	0.5303732032
33	0.5282369624
34	0.525305184
35	0.5225762868
36	0.5195081529
37	0.5166941066
38	0.514086085
39	0.5118607125
40	0.5095347918
41	0.5078604318
42	0.5059578847
43	0.5035659418
44	0.5017231789
45	0.5000662689
46	0.4981718921
47	0.496736038
48	0.494926786
49	0.4925659207
50	0.4913227667
51	0.4901916796
52	0.4890256987
53	0.4877636686
54	0.4861167416
55	0.4848882131
56	0.4835595118
57	0.4823383496
58	0.4809439257
59	0.4798775653
60	0.4782433328
61	0.4766986393
62	0.4755764014
63	0.4741632561
64	0.47307016
65	0.4712090863
66	0.4701931182
67	0.468579387
68	0.467806833
69	0.4666992655
70	0.4657863947
71	0.4647956368
72	0.4634562756
73	0.4626560225
74	0.4614017559
75	0.4603864547
76	0.4594317482
77	0.4584281784
78	0.4577529945
79	0.4567106369
80	0.4560730242
81	0.4553815732
82	0.4546661289
83	0.453908797
84	0.4530788967
85	0.4523394117
86	0.4516751858
87	0.4510399292
88	0.4503280642
89	0.4498176366
90	0.4489876523
91	0.4481305
92	0.4475553416
93	0.4465190497
94	0.4457624124
95	0.4451699482
96	0.4446278288
97	0.4439113157
98	0.4434412839
99	0.4427894447
100	0.4422568998
101	0.4416892377
102	0.4412155205
103	0.4404620613
104	0.4395669654
105	0.4386760513
106	0.4381928536
107	0.4375731791
108	0.4368888671
109	0.4362629624
110	0.435816372
111	0.4351373212
112	0.4344365234
113	0.4337701195
114	0.433082561
115	0.4322922302
116	0.431872743
117	0.4312874661
118	0.4306308334
119	0.4298976404
120	0.4292969887
121	0.4288678686
122	0.4284457846
123	0.427633347
124	0.4269921544
125	0.4264410187
126	0.4260662703
127	0.4257237806
128	0.4251719668
129	0.4247941468
130	0.424384449
131	0.4239565807
132	0.4235057184
133	0.4231460036
134	0.4225672407
135	0.4222878734
136	0.4217453953
137	0.4212620103
138	0.4207132875
139	0.4203734486
140	0.4200047182
141	0.4196697456
142	0.4192029857
143	0.4189951712
144	0.4186967158
145	0.4182451874
146	0.4179726304
147	0.4173809522
148	0.4169466258
149	0.4165255165
150	0.4160365487
151	0.4156419605
152	0.4153335738
153	0.4149167604
154	0.4146423793
155	0.4143509539
156	0.4140592869
157	0.4134825966
158	0.4130089868
159	0.4127379915
160	0.4123616056
161	0.4120643422
162	0.4118855559
163	0.4115546133
164	0.4112322921
165	0.4109904206
166	0.4102857706
167	0.4099888237
168	0.4097485793
169	0.4092302668
170	0.4089835758
171	0.4086533566
172	0.4083239067
173	0.4080405247
174	0.4078352138
175	0.4075659491
176	0.40732215
177	0.4067528913
178	0.4065278529
179	0.4062944366
180	0.4059685368
181	0.4058016851
182	0.4055354904
183	0.405237708
184	0.4048269279
185	0.4045586633
186	0.4043199237
187	0.4035849044
188	0.4028310643
189	0.4025758393
190	0.4023093196
191	0.4020201798
192	0.4017847918
193	0.401623334
194	0.401358029
195	0.4011118453
196	0.4008791575
197	0.4007075502
198	0.4004757429
199	0.4001873852
200	0.3999826385
201	0.3998271041
202	0.3995820618
203	0.3994275204
204	0.399268199
205	0.3989637345
206	0.3988193739
207	0.3985905431
208	0.3979854769
209	0.3978506102
210	0.3974509728
211	0.3969149995
212	0.3967892655
213	0.3966378082
214	0.3964534099
215	0.3962447306
216	0.3960344997
217	0.3957175871
218	0.3955512092
219	0.39527516
220	0.3950249511
221	0.3948223255
222	0.3946157401
223	0.3944241806
224	0.3942489432
225	0.3940747007
226	0.3937934868
227	0.3936385412
228	0.3935028223
229	0.3934838609
230	0.3931778461
231	0.3928559778
232	0.3926402839
233	0.3925027953
234	0.3922961636
235	0.3920878531
236	0.3918313189
237	0.3916139584
238	0.3913287059
239	0.3911894904
240	0.3909825489
241	0.3908348132
242	0.3906287537
243	0.3904933006
244	0.3901630474
245	0.3900718962
246	0.3897435713
247	0.389419288
248	0.3891903654
249	0.3889163198
250	0.38878682
251	0.3886455291
252	0.3884475264
253	0.3882497588
254	0.3877047313
255	0.3875697162
256	0.3873643332
257	0.3872353331
258	0.38683837
259	0.3866875467
260	0.3865372551
261	0.3862563582
262	0.3860171445
263	0.3858840111
264	0.3857176987
265	0.3855153467
266	0.3853736638
267	0.3851615243
268	0.3850679258
269	0.3849025715
270	0.3847125874
271	0.3845827955
272	0.3844633284
273	0.3843112012
274	0.3840566089
275	0.3838699654
276	0.3836311757
277	0.3833269848
278	0.3829806393
279	0.3828695485
280	0.38273164
281	0.382616412
282	0.3825258977
283	0.3823744369
284	0.3822873482
285	0.3821871473
286	0.3818814188
287	0.3817467329
288	0.3816198363
289	0.3814754759
290	0.3812926112
291	0.381182471
292	0.3807767139
293	0.3806172072
294	0.3804614317
295	0.3803120392
296	0.3802189336
297	0.3800719106
298	0.3799757057
299	0.3798584833
300	0.3797597044
301	0.3795862097
302	0.3794786581
303	0.379346788
304	0.3792340273
305	0.3790842421
306	0.3789223219
307	0.3788585033
308	0.3787104146
309	0.3785777022
310	0.3784750457
311	0.3783208989
312	0.3779381304
313	0.3777965314
314	0.3774632609
315	0.3773065797
316	0.3770239107
317	0.3768253148
318	0.3766948207
319	0.3765736494
320	0.3763971354
321	0.3762555655
322	0.3761653414
323	0.3760891136
324	0.3758243047
325	0.3757170497
326	0.3755173733
327	0.3753671014
328	0.375196514
329	0.3750718608
330	0.3748577829
331	0.374588228
332	0.3743355442
333	0.3742204939
334	0.3740810525
335	0.3739655356
336	0.3738629469
337	0.3736289447
338	0.3734135198
339	0.3731917436
340	0.3730624469
341	0.3728289128
342	0.372667911
343	0.372424056
344	0.3722851936
345	0.3721847135
346	0.3719681982
347	0.3718820183
348	0.3717768981
349	0.3716729554
350	0.3715299969
351	0.3714169393
352	0.37132634
353	0.3712213041
354	0.3711596319
355	0.3710352672
356	0.3709569175
357	0.370747752
358	0.3706502394
359	0.3704435179
360	0.3703278978
361	0.3701455159
362	0.3699785478
363	0.3697745342
364	0.3696708269
365	0.3695233711
366	0.369396516
367	0.3693008939
368	0.3691771001
369	0.3691060063
370	0.3689985873
371	0.3688190121
372	0.3687519454
373	0.3686570449
374	0.3685636789
375	0.3683693128
376	0.3682708561
377	0.3681748387
378	0.3680519916
379	0.3679495558
380	0.3678280539
381	0.3677276508
382	0.3675652597
383	0.367222094
384	0.3671032306
385	0.3668832223
386	0.3668448913
387	0.3665845923
388	0.3665176349
389	0.3664090581
390	0.3663101877
391	0.3661595913
392	0.3660374656
393	0.3658873823
394	0.3657935466
395	0.3656734232
396	0.3655160398
397	0.365372767
398	0.3652925794
399	0.3652061824
400	0.3648705377
401	0.3647173664
402	0.3645473998
403	0.3644320048
404	0.3643560966
405	0.3641284246
406	0.3640416856
407	0.3639022616
408	0.3638166955
409	0.3636534597
410	0.3635314819
411	0.3632299713
412	0.3631248137
413	0.3630272411
414	0.3629187867
415	0.3628009384
416	0.3626900612
417	0.3625844682
418	0.362409789
419	0.3621775661
420	0.3619896166
421	0.3618654225
422	0.3617829884
423	0.3616405913
424	0.3615748745
425	0.3614629414
426	0.3613717622
427	0.3612791877
428	0.361168317
429	0.3610275207
430	0.3609366071
431	0.3607956147
432	0.3607261413
433	0.3605180697
434	0.3604394776
435	0.3603521626
436	0.3602610137
437	0.3601797605
438	0.3600801451
439	0.3600357546
440	0.3597977638
441	0.3596293776
442	0.3595069493
443	0.3592040682
444	0.3590803825
445	0.3589757107
446	0.3588604277
447	0.3587356804
448	0.3586725449
449	0.3585934586
450	0.3585110029
451	0.3582336187
452	0.3581563974
453	0.3580993943
454	0.3579931654
455	0.3579049616
456	0.3578158263
457	0.3577384938
458	0.3576362168
