iter	Passed	Remaining
0	59	177236
1	59	89348
2	60	60135
3	60	45451
4	61	36687
5	61	30810
6	62	26595
7	62	23505
8	63	21262
9	64	19264
10	64	17649
11	65	16304
12	65	15146
13	66	14148
14	66	13283
15	67	12531
16	67	11867
17	68	11279
18	68	10748
19	68	10272
20	70	9961
21	70	9570
22	71	9232
23	71	8902
24	72	8597
25	72	8318
26	73	8059
27	73	7819
28	74	7589
29	74	7374
30	75	7185
31	75	7008
32	76	6833
33	76	6669
34	76	6516
35	77	6371
36	77	6232
37	78	6097
38	78	5995
39	79	5887
40	80	5780
41	80	5680
42	81	5576
43	81	5478
44	81	5381
45	82	5289
46	82	5201
47	83	5121
48	83	5045
49	84	4968
50	84	4893
51	85	4866
52	86	4799
53	86	4733
54	87	4672
55	87	4615
56	88	4555
57	88	4498
58	89	4441
59	89	4386
60	90	4336
61	90	4284
62	90	4235
63	91	4187
64	91	4140
65	92	4095
66	92	4052
67	92	4009
68	93	3971
69	93	3931
70	94	3896
71	95	3865
72	95	3831
73	96	3821
74	97	3787
75	97	3751
76	97	3717
77	98	3684
78	98	3651
79	99	3619
80	99	3589
81	100	3559
82	100	3530
83	100	3501
84	101	3474
85	101	3446
86	102	3421
87	102	3398
88	103	3376
89	103	3352
90	104	3327
91	104	3304
92	104	3280
93	105	3257
94	105	3235
95	106	3213
96	106	3193
97	107	3174
98	107	3154
99	108	3133
100	108	3113
101	108	3094
102	109	3075
103	109	3062
104	110	3045
105	110	3029
106	111	3015
107	112	3000
108	112	2983
109	112	2968
110	113	2951
111	113	2934
112	114	2918
113	114	2902
114	115	2886
115	115	2870
116	115	2855
117	116	2840
118	116	2826
119	117	2811
120	117	2798
121	118	2785
122	118	2773
123	119	2760
124	119	2750
125	120	2737
126	120	2724
127	120	2712
128	121	2699
129	121	2689
130	122	2676
131	122	2665
132	123	2653
133	123	2642
134	123	2630
135	124	2619
136	124	2608
137	125	2597
138	126	2600
139	127	2595
140	127	2585
141	128	2576
142	128	2566
143	128	2556
144	129	2546
145	129	2537
146	130	2526
147	130	2516
148	131	2507
149	132	2510
150	132	2500
151	132	2491
152	133	2482
153	133	2474
154	134	2468
155	134	2460
156	135	2452
157	135	2444
158	136	2436
159	136	2428
160	137	2420
161	137	2412
162	138	2404
163	138	2395
164	139	2389
165	139	2381
166	139	2373
167	140	2365
168	140	2357
169	141	2349
170	141	2342
171	141	2334
172	142	2326
173	143	2323
174	143	2318
175	144	2314
176	144	2307
177	145	2300
178	145	2292
179	145	2286
180	146	2279
181	146	2273
182	147	2267
183	147	2260
184	148	2254
185	148	2247
186	149	2241
187	149	2234
188	149	2229
189	150	2223
190	150	2218
191	151	2213
192	151	2208
193	152	2211
194	153	2206
195	153	2200
196	154	2194
197	154	2188
198	155	2183
199	156	2185
200	156	2180
201	156	2174
202	157	2168
203	158	2171
204	159	2169
205	159	2165
206	160	2160
207	160	2154
208	160	2149
209	161	2143
210	161	2138
211	162	2132
212	162	2127
213	163	2131
214	164	2126
215	164	2120
216	164	2115
217	165	2110
218	165	2106
219	166	2101
220	166	2097
221	167	2093
222	167	2088
223	168	2085
224	168	2080
225	169	2076
226	169	2071
227	170	2068
228	170	2065
229	171	2060
230	171	2056
231	171	2051
232	172	2046
233	172	2042
234	173	2038
235	174	2044
236	175	2041
237	175	2037
238	176	2033
239	176	2029
240	176	2024
241	177	2020
242	177	2016
243	178	2013
244	178	2008
245	179	2004
246	179	1999
247	179	1995
248	180	1991
249	180	1987
250	181	1983
251	181	1979
252	181	1975
253	182	1970
254	182	1967
255	183	1964
256	183	1961
257	184	1958
258	184	1954
259	185	1952
260	185	1949
261	186	1946
262	186	1943
263	187	1941
264	187	1937
265	188	1934
266	188	1930
267	189	1928
268	189	1927
269	190	1925
270	190	1922
271	191	1921
272	192	1919
273	192	1917
274	193	1914
275	193	1910
276	194	1907
277	194	1903
278	194	1900
279	195	1896
280	195	1893
281	196	1890
282	196	1887
283	197	1885
284	197	1882
285	198	1879
286	198	1876
287	198	1873
288	199	1871
289	200	1876
290	201	1873
291	201	1870
292	202	1867
293	202	1863
294	203	1861
295	203	1858
296	203	1856
297	204	1853
298	204	1850
299	205	1847
300	205	1844
301	206	1841
302	206	1839
303	207	1838
304	207	1836
305	208	1834
306	208	1831
307	209	1828
308	209	1825
309	210	1823
310	210	1820
311	210	1817
312	211	1814
313	211	1812
314	212	1809
315	212	1806
316	213	1803
317	213	1801
318	214	1799
319	214	1797
320	215	1795
321	215	1793
322	216	1791
323	216	1788
324	216	1786
325	217	1783
326	218	1785
327	218	1782
328	219	1780
329	219	1777
330	220	1774
331	220	1771
332	220	1768
333	221	1766
334	221	1764
335	222	1761
336	222	1759
337	223	1762
338	224	1759
339	224	1758
340	225	1755
341	225	1753
342	225	1750
343	226	1748
344	226	1745
345	227	1743
346	227	1741
347	228	1738
348	228	1736
349	229	1734
350	229	1732
351	230	1730
352	230	1727
353	230	1725
354	231	1723
355	231	1721
356	232	1720
357	232	1719
358	233	1716
359	233	1714
360	234	1712
361	235	1715
362	235	1712
363	236	1710
364	236	1707
365	236	1705
366	237	1703
367	237	1701
368	238	1698
369	238	1696
370	239	1696
371	239	1695
372	240	1694
373	240	1691
374	241	1689
375	241	1687
376	242	1685
377	242	1683
378	243	1680
379	243	1678
380	243	1676
381	244	1674
382	244	1671
383	245	1670
384	245	1667
385	246	1666
386	246	1664
387	246	1662
388	247	1660
389	247	1658
390	248	1655
391	248	1653
392	249	1651
393	249	1649
394	249	1648
395	250	1646
396	250	1644
397	251	1642
398	251	1639
399	252	1638
400	252	1636
401	252	1634
402	253	1632
403	253	1630
404	254	1628
405	254	1626
406	255	1627
407	255	1625
408	256	1624
409	256	1622
410	257	1619
411	257	1618
412	258	1616
413	258	1614
414	258	1613
415	259	1611
416	259	1609
417	260	1607
418	260	1605
419	261	1603
420	261	1601
421	261	1600
422	262	1598
423	262	1597
424	263	1596
425	264	1599
426	265	1597
427	265	1595
428	266	1594
429	266	1592
430	266	1590
431	267	1588
432	267	1586
433	268	1584
434	268	1583
435	268	1581
436	269	1579
437	269	1578
438	270	1576
439	271	1579
440	271	1577
441	272	1576
442	272	1574
443	273	1573
444	273	1571
445	274	1569
446	274	1568
447	275	1566
448	275	1564
449	275	1562
450	276	1561
451	276	1559
452	277	1557
453	277	1555
454	278	1558
455	279	1556
456	279	1555
457	279	1553
458	280	1552
459	280	1551
460	281	1549
461	281	1548
462	282	1546
463	282	1544
464	283	1542
465	283	1541
466	283	1539
467	284	1538
468	284	1536
469	285	1534
470	285	1533
471	285	1531
472	286	1530
473	286	1528
474	287	1529
475	288	1528
476	288	1526
477	289	1524
478	289	1523
479	289	1522
480	290	1520
481	290	1518
482	291	1517
483	291	1515
484	291	1514
485	292	1512
486	292	1511
487	293	1510
488	293	1508
489	294	1507
490	294	1506
491	295	1504
492	295	1503
493	296	1502
494	296	1501
495	297	1500
496	297	1498
497	298	1497
498	298	1495
499	298	1494
500	299	1493
501	299	1491
502	300	1493
503	301	1492
504	301	1490
505	302	1489
506	302	1488
507	303	1488
508	303	1487
509	304	1486
510	304	1484
511	305	1483
512	305	1482
513	306	1480
514	306	1479
515	306	1477
516	307	1476
517	307	1475
518	308	1473
519	308	1472
520	309	1470
521	309	1469
522	310	1468
523	310	1467
524	310	1465
525	311	1464
526	312	1464
527	312	1463
528	313	1462
529	313	1461
530	313	1459
531	314	1458
532	314	1457
533	315	1455
534	315	1454
